"Tanggal Input";"Nama Barang";"Jumlah Barang Masuk";"Jumlah Barang Keluar";"Sisa Stok Barang";Satuan;"Tanggal Keluar";"Nama atau Bagian/Ruang yang Mengambil"
02/01/2026;Tip-Ex;11;1;10;Buah;02/01/2026;"Sainudin Husni / Ruang Perlengkapan"
02/01/2026;"Penjepit Kertas No. 200";11;1;10;Dos;02/01/2026;"Eka Rohmaniah Apriani / Ruang Perlengkapan"
02/01/2026;"Pulpen Balliner Hitam";13;-;13;Buah;-;-
02/01/2026;"Pengharum Ruangan Bundar";16;3;13;Buah;02/01/2026;"Untung Kustoro / Ruang Malige"
02/01/2026;"Kain Lap Sintetis";16;5;11;Buah;02/01/2026;"Mulawati / Ruang Laika"
02/01/2026;"Ordner Biru";19;-;19;Buah;-;-
02/01/2026;"Baterai AAA";16;-;16;Buah;-;-
02/01/2026;"Pengharum Ruangan Diffuser";18;5;13;Botol;02/01/2026;"Sukmawati / Ruang Kepala Kantor"
02/01/2026;"Semprotan Pengharum Ruangan";13;-;13;Buah;-;-
02/01/2026;"Penghapus Pensil";17;1;16;Buah;02/01/2026;"Dwidayanto / Ruang Laika"
05/01/2026;Termos;17;-;17;Buah;-;-
05/01/2026;Teh;19;1;18;Box;05/01/2026;"Indriati / Ruang Keuangan"
05/01/2026;"Buavita Jeruk";14;-;14;Buah;-;-
05/01/2026;"Bingkai A4 Untuk Piagam Penghargaan";12;1;11;Buah;05/01/2026;"Nurmiyanti / Ruang Kepala Kantor"
05/01/2026;"Kacang Goreng";10;8;2;Bungkus;05/01/2026;"Siti Hajarah / Ruang Keuangan"
05/01/2026;"Aqua Botol 600 ML";11;-;11;Dos;-;-
06/01/2026;"Penjepit Kertas";13;-;13;Dos;-;-
06/01/2026;"Kertas Foto";15;-;15;Bungkus;-;-
06/01/2026;Pensil;13;7;6;Buah;06/01/2026;"Cahyo Waskito Pur Antomo / Ruang Sekretaris"
06/01/2026;"Cairan Pembersing Toilet";10;-;10;Buah;-;-
06/01/2026;"Aqua Galon Isi Ulang";18;5;13;Galon;06/01/2026;"Amran Pamme / Ruang Keuangan"
06/01/2026;"Tinta Printer Canon Hitam";18;7;11;Dos;06/01/2026;"I Made Ngurah Rai Febrianto / Ruang Malige"
07/01/2026;"Toner Epson L3110 Biru";17;-;17;Botol;-;-
07/01/2026;"Sendok Sampah";14;-;14;Buah;-;-
07/01/2026;"Kain Pel Dorong";18;-;18;Buah;-;-
07/01/2026;"Spon Cuci Piring";17;2;15;Buah;07/01/2026;"Mifta Huzaena / Ruang Malige"
07/01/2026;Termos;10;-;27;Buah;-;-
07/01/2026;"Sendal Jepit";18;-;18;Buah;-;-
07/01/2026;Pulpen;10;5;5;Buah;07/01/2026;"Resgi Silvania / Ruang Keuangan"
07/01/2026;"Minuman Kaleng";19;-;19;Jenis;-;-
07/01/2026;"Tissue Gulung";16;7;9;Pak;07/01/2026;"Rahim Jamal / Ruang Malige"
07/01/2026;"Map Kertas";10;-;10;Buah;-;-
08/01/2026;"Id Card Pegawai";15;-;15;Buah;-;-
08/01/2026;"Air Galon Le Mineral";10;2;8;Galon;08/01/2026;"Cahyo Waskito Pur Antomo / Ruang Keuangan"
08/01/2026;"Minuman Tropicana Slim";12;-;12;Buah;-;-
08/01/2026;"Minuman Oatside";19;-;19;Buah;-;-
08/01/2026;"Net Voly";20;-;20;Buah;-;-
08/01/2026;"Baterai Kotak";10;1;9;Buah;08/01/2026;"I Made Ngurah Rai Febrianto / Ruang Sekretaris"
08/01/2026;"Gelas Tinggi";14;4;10;Buah;08/01/2026;"Rahim Jamal / Ruang KSU"
08/01/2026;"Ordner Biru";-;4;15;Buah;08/01/2026;"Indriati / Ruang Kepala Kantor"
09/01/2026;"Kotak Tempat Aqua Gelas";15;7;8;Buah;09/01/2026;"Amran Pamme / Ruang Malige"
09/01/2026;"Cairan Pengharus Ruangan Metic";15;-;15;Botol;-;-
09/01/2026;Pensil;11;6;11;Buah;09/01/2026;"Sainudin Husni / Ruang Keuangan"
09/01/2026;"Sapu Ijuk";10;5;5;Buah;09/01/2026;"Nurmiyanti / Ruang KSU"
09/01/2026;"Pulpen Balliner Warna Hijau";11;-;11;Buah;-;-
09/01/2026;"Air Galon Le Mineral";-;1;7;Galon;09/01/2026;"Nurmiyanti / Ruang Keuangan"
09/01/2026;"Map Batik";20;-;20;Buah;-;-
09/01/2026;"Sikat Toilet";12;-;12;Buah;-;-
09/01/2026;"Lem Kertas";14;7;7;Buah;09/01/2026;"Mifta Huzaena / Ruang Sekretaris"
09/01/2026;"Penjepit Kertas";-;4;9;Dos;09/01/2026;"I Made Ngurah Rai Febrianto / Ruang Laika"
12/01/2026;"Gelas Tinggi";-;3;7;Buah;12/01/2026;"Hairil Muhammad Indra Jaya / Ruang KSU"
12/01/2026;"Sikat WC";19;1;18;Buah;12/01/2026;"Muhammad Jihad / Ruang Perlengkapan"
12/01/2026;"Lem Kertas";-;4;3;Buah;12/01/2026;"Mohammad Hanafi / Ruang KSU"
12/01/2026;"Serbet Gantung";18;-;18;Buah;-;-
12/01/2026;"Aqua Gelas";18;-;18;Dos;-;-
12/01/2026;"Aqua Botol 330ML";10;8;2;Dos;12/01/2026;"I Made Ngurah Rai Febrianto / Ruang Alih Daya"
12/01/2026;"Cairan Pembasmi Nyamuk";15;-;15;Botol;-;-
12/01/2026;"Map Plastik Kancing";13;-;13;Buah;-;-
12/01/2026;"Buavita Jeruk";-;4;10;Buah;12/01/2026;"Untung Kustoro / Ruang Sekretaris"
12/01/2026;"Cairan Pengharum Ruangan";16;-;16;Botol;-;-
13/01/2026;"Toner Epson L3110 Biru";17;3;31;Botol;13/01/2026;"Dwidayanto / Ruang Malige"
13/01/2026;"Kacang Goreng";11;6;7;Bungkus;13/01/2026;"Riskawaty / Ruang Keuangan"
13/01/2026;"Aqua Galon Isi Ulang";17;1;29;Galon;13/01/2026;"Indriati / Ruang Kepala Kantor"
13/01/2026;"Stick Notes";17;-;17;Buah;-;-
13/01/2026;"Bunga Rangkai Plastik";13;5;8;Box;13/01/2026;"Jamaluddin M. / Ruang Laika"
13/01/2026;"Rak Berkas";11;4;7;Buah;13/01/2026;"Amran Pamme / Ruang Sekretaris"
13/01/2026;Kanebo;20;1;19;Buah;13/01/2026;"Muhammad Jihad / Ruang KSU"
13/01/2026;"Sendok Sampah";5;-;19;Buah;-;-
14/01/2026;"Susu Kotak Putih";15;6;9;Buah;14/01/2026;"I Made Ngurah Rai Febrianto / Ruang Keuangan"
14/01/2026;"Gantungan Kamar Mandi";13;6;7;Buah;14/01/2026;"Cahyo Waskito Pur Antomo / Ruang Laika"
14/01/2026;"Cairan Pembersih Lantai";13;5;8;Buah;14/01/2026;"Uzlah Marifat Ariqo / Ruang Alih Daya"
14/01/2026;"Cairan Pembersih Kamar mandi";10;1;9;Buah;14/01/2026;"Nurmiyanti / Ruang KSU"
14/01/2026;"Sapu Ijuk";-;5;0;Buah;14/01/2026;"Sainudin Husni / Ruang Sekretaris"
14/01/2026;"Wiper Kaca";19;4;15;Buah;14/01/2026;"Eka Rohmaniah Apriani / Ruang Keuangan"
15/01/2026;"Sikat WC";-;6;12;Buah;15/01/2026;"Cahyo Waskito Pur Antomo / Ruang Laika"
15/01/2026;Cutter;14;1;13;Buah;15/01/2026;"Eka Rohmaniah Apriani / Ruang Kepala Kantor"
15/01/2026;"Minuman Ultra Milk";10;3;7;Buah;15/01/2026;"Febriyani Rahayu / Ruang Alih Daya"
15/01/2026;"Kopi Sachet";20;6;14;Gantung;15/01/2026;"Rahim Jamal / Ruang Laika"
15/01/2026;"Kotak Penyimpanan";17;5;12;Buah;15/01/2026;"Muhammad Jihad / Ruang Perlengkapan"
15/01/2026;"Kertas HVS Warna Biru";16;-;16;Rim;-;-
15/01/2026;"Timba Kamar Mandi";11;2;9;Buah;15/01/2026;"Untung Kustoro / Ruang Keuangan"
15/01/2026;"Toner Epson L3110 Kuning";19;1;18;Botol;15/01/2026;"Fitkha Maylana Rahayu / Ruang Malige"
15/01/2026;"Stempel Pengesahan";18;7;11;Buah;15/01/2026;"Resgi Silvania / Ruang Keuangan"
15/01/2026;"Pengharaum Kamar Mandi Bundar";10;-;10;Buah;-;-
19/01/2026;"Kertas Foto";15;-;30;Bungkus;-;-
19/01/2026;"Pengharaum Kamar Mandi Bundar";11;7;14;Buah;19/01/2026;"Sukmawati / Ruang KSU"
19/01/2026;"Aqua 330 ML";15;-;15;Dos;-;-
19/01/2026;"Buavita Jeruk";-;5;5;Buah;19/01/2026;"Asri / Ruang Keuangan"
19/01/2026;"Kertas Foto";11;-;41;Bungkus;-;-
19/01/2026;"Lakban Hitam";13;-;13;Buah;-;-
20/01/2026;Gunting;20;1;19;Buah;20/01/2026;"Fitkha Maylana Rahayu / Ruang Laika"
20/01/2026;"Penjepit Kertas No. 107";20;5;15;Dos;20/01/2026;"Hairil Muhammad Indra Jaya / Ruang Alih Daya"
20/01/2026;"Pengharum Kamar Mandi Bundar";15;8;7;Buah;20/01/2026;"Hairil Muhammad Indra Jaya / Ruang Sekretaris"
20/01/2026;"Gantungan Kamar Mandi";18;2;23;Buah;20/01/2026;"Uzlah Marifat Ariqo / Ruang Malige"
20/01/2026;"Alat Tensi Digital";16;8;8;Buah;20/01/2026;"Sainudin Husni / Ruang Alih Daya"
21/01/2026;"Pengharum Ruangan Gantung";14;-;14;Buah;-;-
21/01/2026;"Pengharum Kamar Mandi";10;2;8;Buah;21/01/2026;"Nurmiyanti / Ruang Laika"
21/01/2026;"Cairan Pembersih Kamar Mandi";11;7;4;Botol;21/01/2026;"Mifta Huzaena / Ruang Laika"
21/01/2026;"Kain Lap";14;4;10;Buah;21/01/2026;"Maulita Dewi Iskandar / Ruang Kepala Kantor"
